planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
Kepler-62 d,0.044,0.174,0.12,Kepler-62,0.69,0.64,7,4925,510
Kepler-62 e,0.113,0.144,0.427,Kepler-62,0.69,0.64,7,4925,270
Kepler-62 f,0.11,0.126,0.718,Kepler-62,0.69,0.64,7,4925,208
Kepler-68 b,0.02407,0.206,0.0617,Kepler-68,1.08,1.24,6.3,5793,1280
Kepler-7 b,0.441,1.622,0.06067,Kepler-7,1.36,1.97,3.5,5933,1630
Kepler-74 b,0.63,0.96,0.0781,Kepler-74,1.18,1.12,0.8,6000,1078
Kepler-75 b,10.1,1.05,0.0818,Kepler-75,0.91,0.89,6.2,5200,767
Kepler-77 b,0.43,0.96,0.04501,Kepler-77,0.95,0.99,7.5,5520,1440
Kepler-79 b,0.0343,0.31,0.117,Kepler-79,1.17,1.3,3.44,6174,868
Kepler-79 c,0.019,0.332,0.187,Kepler-79,1.17,1.3,3.44,6174,685
Kepler-79 d,0.019,0.639,0.287,Kepler-79,1.17,1.3,3.44,6174,553
Kepler-79 e,0.013,0.311,0.386,Kepler-79,1.17,1.3,3.44,6174,477
Kepler-8 b,0.59,1.416,0.0474,Kepler-8,1.21,1.49,3.84,6213,1680
Kepler-87 b,1.02,1.204,0.481,Kepler-87,1.1,1.82,7.5,5600,478
Kepler-87 c,0.02,0.548,0.676,Kepler-87,1.1,1.82,7.5,5600,403
Kepler-89 b,0.033,0.153,0.05119,KOI-94,1.28,1.52,3.16,6182,1486
Kepler-89 c,0.049,0.385,0.1013,KOI-94,1.28,1.52,3.16,6182,1012
Kepler-89 d,0.334,1.005,0.1684,KOI-94,1.28,1.52,3.16,6182,806
Kepler-89 e,0.11,0.585,0.3046,KOI-94,1.28,1.52,3.16,6182,584
Kepler-9 d,0.016518264,0.146,0.0273,Kepler-9,1.02,0.96,2,5774,2026
Kepler-91 b,0.81,1.367,0.0731,Kepler-91,1.31,6.3,4.86,4550,2040
Kepler-93 b,0.0143,0.14,0.053,Kepler-93,1.09,0.98,6.6,5669,1037
LHS 1140 b,0.02196,0.15407,0.0936,LHS 1140,0.146,0.186,5,3131,230
LP 791-18 c,0.0223,0.2061,0.029392,LP 791-18,0.139,0.17,0.5,2960,370
LP 890-9 b,0.0415,0.1178,0.01875,LP 890-9,0.118,0.1556,7.2,2850,396
LP 890-9 c,0.0796,0.12196,0.03984,LP 890-9,0.118,0.1556,7.2,2850,272
MASCARA-3 b,5.18,1.272,0.06971,HD 93148,1.461,1.506,0.77,6508,1458
NGTS-10 b,2.162,1.205,0.0143,NGTS-10,0.696,0.697,10.4,4400,1332
NGTS-11 b,0.37,0.823,0.2,NGTS-11,0.862,0.832,3.9,5050,440
NGTS-12 b,0.208,1.048,0.0757,NGTS-12,1.021,1.589,9.4,5690,1257
NGTS-13 b,4.84,1.142,0.0549,NGTS-13,1.3,1.788,4.23,5918,1605
NGTS-14A b,0.092,0.44,0.0403,NGTS-14A,0.898,0.842,5.9,5187,1143
NGTS-15 b,0.751,1.1,0.0441,NGTS-15,0.995,0.954,3.28,5600,1146
NGTS-16 b,0.667,1.3,0.0523,NGTS-16,1.002,1.213,10.29,5550,1177
NGTS-17 b,0.764,1.24,0.0391,NGTS-17,1.025,1.337,9.22,5650,1457
NGTS-18 b,0.409,1.21,0.0448,NGTS-18,1.003,1.392,10.84,5610,1381
NGTS-2 b,0.67,1.536,0.0584,NGTS-2,1.64,1.702,2.17,6478,1638
NGTS-20 b,2.98,1.07,0.313,NGTS-20,1.47,1.78,4.1,5980,688
NGTS-21 b,2.36,1.33,0.0236,NGTS-21,0.72,0.86,10,4660,1357
NGTS-23 b,0.613,1.267,0.0504,NGTS-23,1.01,1.24,6.39,6057,1327
NGTS-24 b,0.52,1.214,0.0479,NGTS-24,1.26,1.64,4.77,5820,1499
NGTS-25 b,0.639,1.023,0.0388,NGTS-25,0.91,0.86,3.49,5321,1101
NGTS-26 b,0.29,1.33,0.049,NGTS-26,0.96,1.16,11.5,5550,1331
NGTS-27 b,0.593,1.396,0.0446,NGTS-27,1.07,1.77,7.9,5700,1783
NGTS-29 b,0.39,0.857,0.347,NGTS-29,1.034,1.006,2.1,5730,414
NGTS-30 b,0.96,0.93,0.408,NGTS-30,0.94,0.913,1.1,5455,390
NGTS-8 b,0.93,1.09,0.035,NGTS-8,0.89,0.98,12.48,5241,1345
