planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
1RXS 1609 b,14,1.7,330,1RXS 1609,0.73,1.35,0.011,4060,1800
24 LMi b,0.0541,0.2221,0.58,24 LMi,1.25,1.54,1.9,5861,460
2MASS J1315-2649 b,28,0.91,6.6,2MASS J1315-2649,0.074,0.084,0.9,1770,670
54 Psc c,53,0.8,476,54 Psc,0.79,0.947,5.13,5173,810
AF Lep b,2.8,1.33,8.2,AF Lep,1.2,1.25,0.024,6130,1800
AU Mic b,0.116,0.4571,0.08305,AU Mic,0.5,0.75,0.022,3700,569.5
AU Mic c,0.101,0.28,0.1417,AU Mic,0.5,0.75,0.022,3700,436
BD+20 594 b,0.07,0.23,0.241,BD+20 594,1.67,1.08,3.34,5766,386
BD+60 1417 b,15,1.31,1662,BD+60 1417,1,0.797,0.1,4993,1303
beta Pic c,8.89,1.2,2.68,beta Pic,1.73,1.8,0.04,8052,1250
CFHTWIR-Oph 98 b,7.8,1.86,200,CFHTWIR-Oph 98,0.0154,0.24,0.003,2320,1800
COCONUTS-2 b,6.4,1.12,6471,COCONUTS-2A,0.37,0.388,0.475,3406,434
CoRoT-22 b,0.06,0.4354,0.092,CoRoT-22,1.099,1.136,3.3,5939,885
CoRoT-24 b,0.018,0.33,0.056,CoRoT-24,0.91,0.86,11,4950,1070
CoRoT-24 c,0.088,0.44,0.098,CoRoT-24,0.91,0.86,11,4950,850
CoRoT-27 b,10.39,1.007,0.0476,CoRoT-27,1.05,1.08,4.21,5900,1500
CoRoT-35 b,1.1,1.68,0.0429,CoRoT-35,1.01,1.65,6.1,6390,1747
CoRoT-36 b,0.68,1.41,0.066,CoRoT-36,1.32,1.52,2.1,6730,1567
EPIC 219388192 b,36,0.846,0.0593,EPIC 219388192,0.99,1.01,3.9,5850,1164
eta CrB (AB)b,50.1,0.97,3600,eta CrB,1.19,1.24614,1.75,6028.7,1295
G 9-40 b,0.013,0.17,0.0418,G 9-40,0.29,0.31,9.9,3348,440.6
GD 165 b,43.96,0.83,123,GD 165,0.64,0.0124,3.3,12130,1920.49
GG Tau Bb,40,4.95,14,GG Tau B,0.12,1.45,0.0015,2740,2840
GJ 1018 b,0.00843,0.1356,0.0559,GJ 1018,0.427,0.428,7,3433,458
GJ 1132 b,0.00522,0.1035,0.0154,GJ 1132,0.181,0.207,5,3270,580
GJ 143 c,0.01164,0.07958,0.0695,GJ 143,0.76,0.73,3.8,4640,703
GJ 3470 b,0.03546,0.38826,0.03557,GJ 3470,0.51,0.48,1.6,3652,590
GJ 414 A b,0.02762,0.2632,0.24,GJ 414 A,0.65,0.68,12.4,4120,303.7
GJ 414 A c,0.17705,0.7833,1.43,GJ 414 A,0.65,0.68,12.4,4120,123.3
GJ 436 b,0.05836,0.32519,0.02887,GJ 436,0.452,0.464,6,3684,580
Gliese 12 b,0.00494,0.0919,0.066,Gliese 12,0.241,0.269,7,3253,287
GPX-1 b,19.7,1.47,0.0338,GPX-1,1.68,1.56,0.27,7000,2300
HAT-P-1 b,0.525,1.319,0.05561,HAT-P-1,1.151,1.174,3.6,5980,1322
HAT-P-11 b,0.0736,0.389,0.053,HAT-P-11,0.809,0.683,6.5,4780,750
HAT-P-12 b,0.210489885,0.949,0.0384,HAT-P-12,0.73,0.7,2.5,4650,965
HAT-P-18 b,0.183,0.947,0.0559,HAT-P-18,0.77,0.717,12.4,4870,841
HAT-P-26 b,0.0585,0.57,0.0479,HAT-P-26,0.816,0.788,9,5079,590
HAT-P-42 b,0.975,1.277,0.0575,HAT-P-42,1.179,1.528,5.1,5743,1427
HAT-P-43 b,0.66,1.283,0.0443,HAT-P-43,1.048,1.104,5.7,5645,1361
HAT-P-49 b,1.73,1.413,0.0438,HAT-P-49,1.543,1.833,1.5,6820,2131
HAT-P-50 b,1.36,1.288,0.0453,HAT-P-50,1.273,1.698,3.37,6280,1862
HAT-P-51 b,0.309,1.293,0.05069,HAT-P-51,0.976,1.041,8.2,5449,1192
HAT-P-52 b,0.819,1.009,0.03694,HAT-P-52,0.887,0.893,9.4,5131,1218
HAT-P-53 b,1.487,1.318,0.03159,HAT-P-53,1.093,1.209,4.67,5956,1778
HAT-P-55 b,0.582,1.182,0.04604,HAT-P-55,1.013,1.011,4.2,5808,1313
HAT-P-56 b,2.31,1.51,0.0423,HAT-P-56,1.42,1.47,2.01,6566,1840
HAT-P-57 b,1.85,1.413,0.0406,HAT-P-57,1.47,1.5,1,7500,2200
HAT-P-58 b,0.372,1.332,0.04994,HAT-P-58,1.031,1.53,7.11,5931,1622
HAT-P-59 b,1.54,1.123,0.05064,HAT-P-59,1,1.1,7.3,5678,1277
HAT-P-60 b,0.574,1.631,0.06277,HAT-P-60,1.435,2.197,2.765,6212,1772
HAT-P-61 b,1.057,0.899,0.0301,HAT-P-61,1.004,0.938,2.6,5587,1505
HAT-P-62 b,0.761,1.073,0.03772,HAT-P-62,1.023,1.17,8.1,5629,1512
HAT-P-63 b,0.614,1.119,0.04294,HAT-P-63,0.925,0.9661,9,5400,1237
HAT-P-64 b,0.58,1.703,0.05387,HAT-P-64,1.298,1.735,2.88,6457,1766
HAT-P-65 b,0.527,1.89,0.03951,HAT-P-65,1.212,1.86,5.46,5835,1930
HAT-P-67 b,0.34,2.085,0.06505,HAT-P-67,1.642,1.546,1.24,6406,1903
HAT-P-68 b,0.724,1.072,0.02996,HAT-P-68,0.6785,0.67,11.1,4508,1028
HAT-P-69 b,3.58,1.676,0.06555,HAT-P-69,1.698,1.854,1.27,7724,1990
HAT-P-7 b,1.741,1.431,0.0379,HAT-P-7,1.51,2,2.07,6259,2121
HAT-P-70 b,6.78,1.87,0.04739,HAT-P-70,1.89,1.858,0.6,8450,2562
HATS-10 b,0.526,0.969,0.0449,HATS-10,1.1,1.105,3.3,5880,1407
HATS-11 b,0.85,1.609,0.0507,HATS-11,1.33,1.54,7.7,6563,1596
HATS-12 b,2.38,0.692,0.0441,HATS-12,1.16,1.17,2.36,6357,1446
HATS-13 b,0.543,1.212,0.04057,HATS-13,0.962,0.887,2.5,5523,1244
HATS-17 b,1.338,0.777,0.1308,HATS-17,1.131,1.091,2.1,5846,814
HATS-18 b,1.98,1.337,0.01761,HATS-18,1.037,1.02,4.2,5600,2060
HATS-19 b,0.427,1.66,0.0589,HATS-19,1.303,1.74,3.94,5896,1570
HATS-20 b,0.273,0.776,0.04619,HATS-20,0.91,0.892,6.4,5406,1147
HATS-21 b,0.332,1.123,0.04676,HATS-21,1.08,1.021,2.3,5695,1284
HATS-22 b,2.74,0.953,0.05025,HATS-22,0.759,0.689,4.6,4803,858
HATS-23 b,1.47,1.86,0.03397,HATS-23,1.121,1.199,4.2,5780,1654
HATS-24 b,2.44,1.487,0.02547,HATS-24,1.212,1.172,0.88,6346,2067
HATS-3 b,1.071,1.381,0.0485,HATS-3,1.209,1.404,3.2,6351,1648
HATS-31 b,0.88,1.64,0.0478,HATS-31,1.275,1.87,4.3,6050,1823
HATS-32 b,0.92,1.249,0.04024,HATS-32,1.099,1.097,3.5,5700,1437
HATS-33 b,1.192,1.23,0.03727,HATS-33,1.062,1.022,3,5659,1429
HATS-34 b,0.941,1.43,0.03166,HATS-34,0.955,0.98,7.7,5380,1445
HATS-35 b,1.222,1.464,0.03199,HATS-35,1.317,1.433,2.13,6300,2037
HATS-36 b,2.79,1.153,0.0523,HATS-36,1.1,1.1,3.4,5950,1203
HATS-37A b,0.099,0.606,0.04913,HATS-37A,0.843,0.877,11.46,5326,1085
HATS-38 b,0.074,0.614,0.05036,HATS-38,0.89,1.105,11.89,5732,1294
HATS-39 b,0.63,1.57,0.06,HATS-39,1.379,1.621,2.06,6572,1645
HATS-4 b,1.323,1.02,0.0362,HATS-4,1.001,0.925,2.1,5403,1315
HATS-40 b,1.59,1.58,0.04997,HATS-40,1.56,2.26,2.07,6460,2100
HATS-41 b,9.7,1.33,0.0583,HATS-41,1.496,1.71,1.34,6424,1710
HATS-42 b,1.88,1.4,0.03689,HATS-42,1.273,1.48,3.26,6060,1856
HATS-47 b,0.369,1.117,0.04269,HATS-47,0.674,0.6564,8.1,4512,852.9
HATS-48A b,0.243,0.8,0.03769,HATS-48A,0.7279,0.7152,11.97,4546,954.6
HATS-49 b,0.353,0.765,0.04515,HATS-49,0.7133,0.6977,10.5,4405,834.8
HATS-5 b,0.237,0.912,0.0542,HATS-5,0.936,0.871,3.6,5304,1025
HATS-50 b,0.39,1.13,0.05046,HATS-50,1.168,1.117,1.2,5990,1348
HATS-51 b,0.768,1.41,0.04639,HATS-51,1.187,1.44,4.74,5758,1553
HATS-52 b,2.24,1.382,0.02498,HATS-52,1.111,1.046,1.2,6010,1834
HATS-53 b,0.595,1.34,0.04753,HATS-53,0.964,1.1,8,5644,1312
HATS-54 b,0.753,1.015,0.037,HATS-54,1.05,1.23,7.96,5621,1420
HATS-55 b,0.921,1.251,0.05412,HATS-55,1.1955,1.126,0.4,6214,1367
HATS-56 b,0.602,1.688,0.06043,HATS-56,1.573,2.201,1.894,6536,1902
HATS-57 b,3.147,1.13,0.03493,HATS-57,1.026,0.96,2.5,5587,1413.4
HATS-58A b,1.03,1.095,0.05798,HATS-58A,1.461,1.433,0.31,7175,1721
HATS-59 b,0.806,1.126,0.06112,HATS-59,1.038,1.036,4.3,5670,1128
HATS-60 b,0.662,1.153,0.04708,HATS-60,1.1,1.46,7.53,5690,1528
HATS-61 b,3.4,1.195,0.07908,HATS-61,1.075,1.667,8.93,5541,1226
HATS-62 b,0.179,1.055,0.04163,HATS-62,0.911,0.923,8,5435,1237
HATS-63 b,0.96,1.207,0.04026,HATS-63,0.931,1.07,10.4,5626,1398
HATS-64 b,0.96,1.679,0.06562,HATS-64,1.562,2.113,1.86,6560,1793
HATS-65 b,0.821,1.501,0.04497,HATS-65,1.269,1.296,1.42,6276,1634
HATS-66 b,5.33,1.411,0.04714,HATS-66,1.406,1.851,2.29,6606,1998
HATS-67 b,1.45,1.685,0.03032,HATS-67,1.44,1.44,0.44,6605,2193
HATS-68 b,1.29,1.2321,0.05071,HATS-68,1.337,1.769,3.14,6122,1741
HATS-69 b,0.577,0.945,0.03211,HATS-69,0.892,0.8785,8,5137,1295.7
HATS-70 b,12.9,1.384,0.03632,HATS-70,1.78,1.88,0.81,7930,2730
HATS-72 b,0.1254,0.7224,0.066517,HATS-72,0.7311,0.7214,12.17,4656.1,739.3
HATS-74A b,1.46,1.032,0.02384,HATS-74A,0.6,0.5758,11,3777,895
HATS-75 b,0.491,0.884,0.032742,HATS-75,0.6017,0.5848,14.9,3790.4,772
HATS-76 b,2.629,1.079,0.02658,HATS-76,0.662,0.626,4.6,4016,940
HATS-77 b,1.374,1.165,0.03607,HATS-77,0.655,0.643,12.1,4071,828
HATS-8 b,0.138,0.873,0.04667,HATS-8,1.056,1.086,5.1,5679,1324
HATS-9 b,0.839,1.236,0.0312,HATS-9,1.1,1.56,10.8,5599,1746
HD 106315 b,0.03964,0.218,0.0907,HD 106315,1.09,1.3,4.48,6327,1153
HD 106315 c,0.04782,0.388,0.1536,HD 106315,1.09,1.3,4.48,6327,886
HD 110067 b,0.0179,0.19627,0.0793,HD 110067,0.798,0.788,8.1,5266,800
HD 110067 c,0.0198,0.2132,0.104,HD 110067,0.798,0.788,8.1,5266,700
HD 110067 d,0.02681,0.2543,0.136,HD 110067,0.798,0.788,8.1,5266,602
HD 110067 e,0.0123,0.1731,0.1785,HD 110067,0.798,0.788,8.1,5266,533
HD 110067 f,0.01586,0.232,0.2163,HD 110067,0.798,0.788,8.1,5266,489
HD 110067 g,0.0264,0.23258,0.262,HD 110067,0.798,0.788,8.1,5266,440
HD 118865 b,52,0.85,9200,HD 118865,1.165,1.28,3.2,6068.58,1200
HD 130948 B,59.8,1,1100,HD 130948,1.12,1.022,0.5,6030,1950
HD 1397 b,0.415,1.026,0.1097,HD 1397,1.322,2.328,4.52,5528,1228.3
HD 178450 (AB)b,19,1.31,462,HD 178450 (AB),0.891,0.903,0.23,5285.05,1740
